tweet,label
386 new cases of #COVID19; 176-Lagos 65-Kano 31-Katsina 20-FCT 17-Borno 15-Bauchi 14-Nasarawa 13-Ogun 10-Plateau 4-Oyo 4-Sokoto 4-Rivers 3-Kaduna 2-Edo 2-Ebonyi 2-Ondo 1-Enugu 1-Imo 1-Gombe 1-Osun 3912 cases of #COVID19 in Nigeria Discharged: 679 Deaths: 117 https://t.co/IUWL9ROjqQ,real
???When using a medical mask you???re supposed to use??? white side out (this is the filter part) for when you???re not sick.??�,fake
He beat Spanish flu. Then 100 years later he beat COVID. https://t.co/RjsBiy44zB https://t.co/oN3Qiy3wrf,real
Allergic rhinitis and asthma may increase risk of severe COVID. https://t.co/kjhigbQ68y https://t.co/nrkk864T66,real
In the backdrop of the lockdown videos of wild animals taking over the roads are surfacing on the internet. Among them a set of pictures of a herd of deer is doing the rounds on social media claiming that these pictures are from Lake Club Chandigarh.,fake
"Promise:- 15 lakh in each account

Delivery:- 15 lakh corona count

#15LakhAaGaye #failedmodi #modigovernment #fail https://t.co/xXofMSbl2x",fake
#IndiaFightsCorona Centre rushes High Level Central team to #Jammu to assist in strengthening #COVID19 Containment Surveillance Testing and efficient Clinical Management. https://t.co/xeffeZv9Qo @PMOIndia @drharshvardhan @AshwiniKChoubey @CovidIndiaSeva @COVIDNewsByMIB,real
Claim that disease outbreaks and pandemics correspond with election years.,fake
If you‘re sick with #COVID19 &amp; your pet becomes sick don’t take your pet to the veterinary clinic yourself. Call your veterinarian &amp; let them know you have been sick with COVID-19. https://t.co/H8NS2GTd4x https://t.co/YGwd8QiHpx,real
COVID-19 tests can be purchased to do the test at home with sanitary guarantees.,fake
The latest CDC #COVIDView report shows the percentage of deaths attributed to #COVID19 increased during the first 3 weeks of July but has since been on the decline: https://t.co/zP4VYlo0Pb. https://t.co/C9Eu0ARcJ3,real
"@factgasm2 No, it's a reflection of this Covid bullshit that yes, there is a virus but no, it's not as deadly as people think and it's being blown out of proportion to shut everything down to blame the public for their own demise ... Age old Tory trick ...",fake
???I see no time in the history of this country when perfectly healthy people have been basically confined to their homes or only able to do essential things as in Kansas City or St. Louis.??�,fake
"Some countries throw Covid19 infected dead bodies into the seas. Advice to stop eating seafood.
The World is really coming to an end.
Dear God, please intervene.",fake
We also have to report a bug in our rolling average lines in some previous charts. In some cases they were calculating over a longer time period which made changes harder to see. We regret the error.,real
As at 11:10pm 20th April breakdown of cases by states: Lagos-376 FCT-89 Kano-59 Osun-20 Oyo-16 Edo-15 Ogun-12 Kwara-9 Katsina-12 Bauchi-7 Kaduna-9 Akwa Ibom-9 Delta-4 Ekiti-4 Ondo-3 Enugu-2 Rivers-2 Niger-2 Benue-1 Anambra-1 Borno-3 Jigawa-2 Abia-2 Gombe-5 Sokoto-1,real
"They won't and they can't. Many missionaries have died in corona. Even Mother Teresa died a painful death. If Jesus could bring health, Christian hospitals would not be having operation theatres and surgeries. https://t.co/TgTtECOkp5",fake
Death Sentence To Be Considered For Holiday Makers Receiving Covid Payment https://t.co/IgOeHXgVRS,fake
California had seen rising case counts but its other numbers looked solid—% positive was low hospitalizations were not growing—but this week the state appears to be turning. https://t.co/QNTloVs9cZ,real
RT @CDC_TB: During the #COVID19 pandemic we must continue to maintain essential public health services like #TB prevention &amp; control. @CD…,real
"Analysis: Are quarantined passengers adequately protected from Cornwall? #coronavirus
https://t.co/q9kK0HXNeC https://t.co/UPDj4OPxL0",fake
"???Governor Andy Beshear has authorized Kentucky teachers to make in-home visits. With parental approval, teachers will inspect the bedroom of each student currently enrolled in K-8.??�",fake
Coronavirus: Noel Gallagher refuses to wear face mask despite UK laws https://t.co/fd24M7xu7n,real
Coronavirus testing: ICMR approves 1000th lab RT-PCR tests cross 7 million-mark https://t.co/n0CuBDgEQy via @BT_India,real
"Trump announced that Roche Medical Company will launch the vaccine next Sunday, and millions of doses are ready from it !!!
The end of the play",fake
A photo shows what COVID-19 does in the throat.,fake
"Wondering how you can do your daily activities safely while protecting yourself and your loved ones from #COVID19? To help you determine your level of risk answer these questions about “Deciding to Go Out:"" https://t.co/g9sT0JqtEx. https://t.co/tZOt2qAzP8",real
Video of kids from Italy yelling at stars assuming them to be their dead mother.,fake
A photo of people lying in the street is accompanied by a caption implying they are coronavirus victims in China.,fake
Laboratory professionals: New guidance now available for using pooled samples for #COVID19 diagnostic screening and surveillance testing. Guidance includes information on reporting limitations and testing systems. See full guidance here: https://t.co/S8KeeOvNXb. https://t.co/UVzIpZei1N,real
India surpasses Russia to become the third worst-affected country worldwide after the United States and Brazil: John Hopkins University. Maharashtra government allows reopening of hotels and lodges outside containment zones from 8 July. #COVID19 #coronavirusFacts https://t.co/3Ms7InEJRK,fake
#IndiaFightsCorona: 📍Follow simple #Handwashing steps to prevent the spread of #COVID19. #StaySafe #IndiaWillWin @MoHFW_INDIA @drharshvardhan @MinistryWCD @PrakashJavdekar @DDNewslive @airnewsalerts @UNICEFIndia @PIB_India Via @UNinIndia https://t.co/kvP2d1cYxG,real
All others had completed 14 days in managed isolation and 1326 people have now been contacted and have tested negative for COVID-19 which is over 60% of this cohort.​ ​ A further 395 people have been spoken with and referred for testing.,real
Pre-existing #COVID19 immunity: Why some people get really sick and some people are unaffected. https://t.co/fbDsP7qxfc https://t.co/7FD7dwkW04,real
And yet: we have known that our numbers were a lower bound on the number of tests for a while. We were just missing some total test numbers from big states. Now that some of those have been filled (thanks TX MA!)—we have more data going uncaptured: private lab testing.,real
"I am the physician that discovered the cure for CORONA when I myself had it: it is Colloidal Silver, another word for liquid silver, a natural antibiotic. Tell every1; I'm an isolated individual having trouble spreading the msg, but happy to greet survivers...",fake
A lab in Thane was closed for reporting false positive cases of COVID-19,fake
???No other country??� is having a ???second wave??� of COVID-19 ???because they are not trying to unseat a President in November.??�,fake
There are currently 5 people receiving hospital level care. Two are in Auckland City Hospital and three are in Middlemore Hospital. ​ ​ Our total number of confirmed cases is 1280.,real
Piltdown President Says Virus Will Go Away https://t.co/RzRktiNhsS,fake
A second national lockdown could be needed if the latest #coronavirus restrictions do not work the Foreign Secretary Dominic Raab has told Sky News https://t.co/YhcOm58bmv,real
Covid-19 Wins Virus-Tainted Santa Anita Derby https://t.co/NX8cqcP9CC,fake
Stop eating bakery items! It is strictly advised to not eat bakery items as it is not washable and get infected to the virus easily.,fake
", Nicolás Maduro warned that the COVID-19 disease might be a ""biological weapon"" created against China and the rest of the world",fake
NEW PUBLICATION @ScienceMagazine evolution &amp; epidemic spread of SARS-CoV-2 in Brazil ➡️76% of virus strains from Europe ➡️Interventions reduced R number to 1–1.6 ➡️R insufficient to control transmission 🔰https://t.co/zpH7hdRBoq @UniofOxford @usponline @imperialcollege https://t.co/RWFUcYMIBx,real
Use caution when relying on gaiters and face shields to help protect yourself and others from #COVID19. Researchers are currently investigating their effectiveness. Learn more: https://t.co/iOQv5OMdKA. https://t.co/qbLQn00kFI,real
Older adults and people w/ severe chronic medical conditions may be at higher risk for severe illness from #COVID19. If you or a loved one are at increased risk of getting COVID-19 act now: stay home when possible &amp; make a plan in case you get sick. https://t.co/juMv7KnMCz. https://t.co/2gWd1u5kHg,real
This chart makes clear what has been true all along: Different parts of the country have experienced this pandemic in different ways at different times. After experiencing relatively fewer deaths in the spring the South has entered a new phase. https://t.co/z86WmiKOnx,real
"""This particular pandemic is one where I don???t think nationwide, there???s been a single fatality under 25.""",fake
Mosquitoes can transfer COVID-19 “from person to person”.,fake
@ariellesophia It’s ... a very messy number especially in a time series. You could get a number that reflects today but it would be a mix of cumulative hospitalizations for some states and daily totals for others,real
Arizona is the poster child for this problem. Even as the outbreak continues there and hospitalizations and deaths rise the 7-day average for tests has fallen in July. https://t.co/kYRQ2WgObb,real
You will notice California has a major adjustment. We are switching back to state data from other more frequently updated sources. This should be a one-time adjustment. More discussion here: https://t.co/74cFcDD6xl And context on California here: https://t.co/EbClrCf6Q3,real
#Bihar Govt. has extended the #lockdown till Aug16 — the lockdown that began on July 16 and was scheduled to end on July 31. As part of new restrictions Govt. &amp; Pvt. offices will be allowed to function with 50% workforce as against the total closure under the current lockdown. https://t.co/loONdc040k,real
CNBC claims COVID-19 survives in air for 8 hours; paper and plastic for 3-4 hours,fake
#IndiaFightsCorona One of the lowest globally India’s Case Fatality Rate 1.76% and sliding. Health Ministry issues FAQs on better Clinical Management of #COVID19 patients in ICUs. https://t.co/03Cw1O4CJt,real
#IndiaFightsCorona India has substantively ramped up its testing infrastructure from one lab in Jan 2020 to 1370 labs today. Expanded diagnostic lab network &amp; facilitation for easy testing across the country has given a boost and India has done more than 2 crore tests presently. https://t.co/dA7uc4vwFa,real
Pooled COVID-19 testing requires complex staff coordination but can provide reassurance to the community. https://t.co/0lMzr3kqN4 https://t.co/4lpwOhIDPW,real
On Friday there were 133 people swabbed over a two-hour period at New World in New Plymouth. The testing centre in Manurewa had 153 people swabbed yesterday and 326 people were tested yesterday at the pop-up clinic in Christchurch.​⁣,real
"$3 trillion for federal coronavirus stimulus packages is ""being borrowed basically from China.""",fake
Contact tracing apps have been secretly installed on every Android phone,fake
"Ellie Goulding says she doesn’t understand why coronavirus means F1 has to stop.

“Couldn’t the drivers just keep their helmets on the whole time?” she said https://t.co/eNLrxa6mNs",fake
FDA authorizes 2 COVID-19 blood tests that estimate antibodies present in a person's blood. Neither gives a precise measurement. https://t.co/Q09hcijuGo,real
Essential services include: 1. Stores &amp; market stalls selling food 2. Pharmacies 3. Banks 4. Public Transportation Services MUST: ☑Provide hand sanitiser or hand washing facilities for customers &amp; employees ☑Enforce social distancing ☑Clean and disinfect surfaces frequently,real
Standard weekend reporting (and single-day) caveats apply but deaths fell to 1184 the lowest level since April 6. https://t.co/Yo8Y2sFjYm,real
Marist College in Auckland cluster has now closed. This means five significant clusters remain open. A cluster is considered to be closed when there have been no new cases for two incubation periods (i.e. 28 days) from the date when all cases have completed isolation.,real
The first case we are reporting today is a man in his 20s who arrived in New Zealand on July 23 from the Philippines via Hong Kong. He has been in managed isolation at the Rydges in Rotorua and tested negative for COVID-19 around day 3 of his stay.,real
📢#CoronaVirusUpdates: 📍#COVID19 India Tracker (As on 06 September 2020 08:00 AM) ➡️Confirmed cases: 4113811 ➡️Recovered: 3180865 (77.3%)👍 ➡️Active cases: 862320 (21.0%) ➡️Deaths: 70626 (1.7%) #IndiaFightsCorona #IndiaWillWin #StaySafe Via @MoHFW_INDIA https://t.co/RkZ1YNKzkL,real
COVID 19 Kits for home linked to Tata Health,fake
India's tally of COVID-19 cases has crossed the 4 lakh mark out of which 227755 people have recovered so far. Senior Congress leader V Hanumantha Rao has tested positive for the coronavirus infection. #coronavirus #CoronavirusFacts https://t.co/fc93owlOb9,fake
"Originator of Johns Hopkins COVID-19 Dashboard Not Sure Where Data Comes From, But Says It Looks Goo� https://t.co/n8u2MwwXJu #coronavirus",fake
One hundred days after the 1st #COVID19 case was recorded in Nigeria the NCDC National Reference Laboratory has supported 29 more laboratories to develop capacity for #COVID19 testing Watch this report by @NTANewsNow on the lab including reflections by the @PTFCOVID19 Chair https://t.co/hPI3rLO1co,real
A video showing medical staff in Turkey saluting citizens.,fake
@PeterWa97559477 Those feel the most solid. We're still not sure how much coverage each state is getting of its hospitals. -@alexismadrigal,real
@anak2422anak #UttarPradesh Govt. has decided to impose stricter lockdown on weekends as a measure to control coronavirus spread during the month of July. Kindly contact your district surveillance officer and share the details of your trip.,real
As of 27 July 2020 there are 347 active #COVID_19 cases in Paschim Bardhaman District #WestBengal. For #COVID19 facilities Bed Availability &amp; #COVID Helpline kindly refer to https://t.co/C4GUhLi45L #COVID__19 #COVIDー19 #coronavirus #CoronavirusIndia #CoronaVirusUpdates https://t.co/oxWmGO5XvP,real
RT @drharshvardhan: #CoronaVirusUpdates ! 👉India has substantially ramped up its testing infrastructure across the country. 👉As on date…,real
As at 09:30 pm 29th March there are 111 confirmed cases 1 death For a breakdown of cases by states in real time please see https://t.co/zQrpNeOfet Currently; Lagos- 68 FCT- 21 Ogun- 3 Enugu- 2 Ekiti- 1 Oyo- 7 Edo- 2 Bauchi- 2 Osun-2 Rivers-1 Benue- 1 Kaduna- 1,real
Our daily update is published. We’ve tracked a total of 1149960 tests up ~100k from yesterday. Note that we can only track tests that a state reports. And not all states report all negative tests. For details see: https://t.co/PZrmH4bl5Y https://t.co/zUMkCFPvpK,real
3 out of every 5 Nigerians who die from #COVID19 are more than 50 years old Take precautions to protect your older relatives by wearing a face mask in public practicing hand/respiratory hygiene &amp; maintaining a physical distance of 2 metres from others #TakeResponsibility https://t.co/RFioR52i7C,real
Before our update we wanted to show you why we do this. Tracking testing data in the U.S. has been a challenge. The CDC is currently publishing incomplete data that lags several days behind state reports. We collect and clean the state data. Here’s how the two datasets differ: https://t.co/Eu8pbiZ5Rf,real
The government has come under pressure over a lack of availability of #COVID19 tests. Read more here: https://t.co/lMM9qgW2Xl https://t.co/HzW6Y1GrC1,real
Twenty new cases of #COVID19 have been reported in Nigeria; 13 in Lagos 4 in FCT 2 in Kaduna and 1 in Oyo State As at 09:00 pm 30th March there are 131 confirmed cases of #COVID19 reported in Nigeria with 2 deaths https://t.co/qXWEsSWG4y,real
We just announced an award from U.S. government agency @BARDA for up to $483 million to accelerate development of our mRNA vaccine (mRNA-1273) against novel coronavirus https://t.co/Sn20aJVr8Z https://t.co/DbvywrTPcB,real
"Canada’s top BDSM doctor says wear a mask, leash, tight leather to prevent spread of COVID-19 #cdnpoli #COVID19 https://t.co/1E7yDlIGBD https://t.co/bffEps28Iy",fake
Multiple Facebook posts claim that “Aussies will be fined if they are found to be talking about conspiracies to do with [COVID-19]”. The posts included a screenshot of a segment from an Australian breakfast television show as evidence for the claim.,fake
Herman Cain's death comes 4 weeks after being hospitalized with #COVID19. https://t.co/u26r1lifFi,real
"Some of the worst viral disease outbreaks in recent years – SARS, Ebola and likely #coronavirus – originated in bats, a new study has proposed an answer to why diseases that originate in bats are so deadly. https://t.co/wYZBDVrqsH #coronavirus",fake
📢DISREGARD any message that you are a beneficiary of #COVID19 funds or your account has been credited by NCDC. Also NCDC is not sending letters of employment &amp; will NEVER request for payment in return for employment offers. Share verified information! https://t.co/L1G99UEh9j https://t.co/woDW3XEcCN,real
Black patients more likely to be hospitalized due to coronavirus. https://t.co/8DCzc4IX1p https://t.co/J5vjpiqvOa,real
As at 11:50 pm 19th April the breakdown of cases by state is: Lagos- 376 FCT- 88 Kano- 36 Osun- 20 Oyo- 16 Edo- 15 Ogun- 12 Kwara- 9 Katsina- 12 Bauchi- 7 Kaduna- 6 Akwa Ibom- 9 Delta- 4 Ekiti- 3 Ondo- 3 Enugu- 2 Rivers-2 Niger- 2 Benue- 1 Anambra- 1 Borno- 1 Jigawa- 2,real
Salaries/Pensions of government employees will be deducted.,fake
"If the coronavirus gets in your mouth, ""drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.""",fake
Practice social distancing by putting space between yourself and others. Continue to practice healthy habits like washing your hands for at least 20 seconds and staying home if you’re sick to help slow the spread of #COVID19. Learn more: https://t.co/tt49zOn1hf. https://t.co/jiv8rCeZzY,real
#COVID19 has affected every person in America in some way but it is not affecting everyone in the SAME way. Many racial and ethnic groups are overly affected by COVID-19. Read about CDC’s commitment to improve #HealthEquity. https://t.co/OVro238b8r https://t.co/2YhAC2v5Os,real
#IndiaFightsCorona: India registers a record of highest single day recoveries  More than 1 lakh patients recovered in the last 24 hours #StaySafe #IndiaWillWin https://t.co/QIHLyf4uyp,real
The latest CDC #COVIDView data show that #COVID19-associated hospitalization rates are highest among American Indian/Alaska Natives Blacks and Hispanics/Latinos. Existing disparities can make these groups more vulnerable to COVID-19 outbreaks. https://t.co/USHdcAHlZb https://t.co/t5khtl7yTN,real
"""Here’s the problem -- we are testing people for any strain of a coronavirus -- not specifically for COVID-19. There are no reliable tests for a specific COVID-19 virus.""",fake
"Amid COVID-19, 25 of the 26 Republican governors ""have decided to play football,"" but ""three-fourths"" of the 24 Democratic governors ""have decided not to play already and most will probably not play.""",fake
Cabinet Office Minister Michael Gove says 'there's going to be a shift of emphasis' on working from home in the new #COVID19 restrictions. #KayBurley Get the latest #coronavirus news: https://t.co/hk8hrup8AY https://t.co/q8Btm4YE1P,real
_Vaccines against the novel coronavirus are dangerous. Moreover a mutation in the virus will make them ineffective._,fake
"For months, the Trump Administration was repeatedly warned about the threat COVID-19 posed to our nation. They ignored the experts, failed to take action, and now Americans are paying the price. https://t.co/YiSTQPnLNy",fake
Moderate &amp; severe #COVID_19 cases are being treated in either the Dedicated #COVID Hospitals or Dedicated #COVID19 Health Centres wherein less than 1.70% of the cases are in ICUs 0.33% cases are on Ventilators and 2.59% cases are on Oxygen beds as on 17.7.2020(6 PM). https://t.co/vhvHHHyc0j,real
Transparency from our leaders is vital during this crisis. We must all have access to data so that we can make informed decisions about our own behavior changes. AZ residents you can access our data model projections at https://t.co/0u4iUx0kml https://t.co/rpkjdMZKeV,real
"The Centers for Disease Control and Prevention applied for an ""illegal"" patent related to the virus that causes SARS.",fake
Olympic Games To Go Ahead 'Behind Closed Doors' https://t.co/MyU3ncSdEl #death #japan #sport #coronavirus #olympicgames,fake
Lockdown in South Africa has collapsed. Guys are out on the streets looting shops because of no employment and no money to buy food even police cannot Control the crowds..,fake
"*THE LOGIC BEHIND JANTA CURFEW* . As carona virus’ life at one place is
12 hrs and Janta curfew is for 14 hrs so the places or points of 
public areas where carona may have survived will not be touched for 14 
hrs and this will break the chain .",fake
"Man Doesn't Want To Cause Widespread Panic, But EVERYONE Is Going To Die https://t.co/FHebIgjxvb #death #pandemic #coronavirus",fake
"NEWS! ‘Laughter is the best medicine’ explains Boris, ‘which is why our Covid strategy is a joke’ https://t.co/GNQIWOH3YK https://t.co/WQjVYrCfqf",fake
Here's the comparison between New York and the rest of the states and territories. 43% of the known lives lost due to COVID-19 have come in New York. https://t.co/cf4tTXbd4Y,real
_The coronavirus has been discovered in poultry._,fake
Facebook user suggests that confirmed cases are suspected cases of COVID-19 whereas those declared positive are people who actually have the novel coronavirus.,fake
"First Minister of Northern Ireland Arlene Foster insists ""this is not returning to lockdown"" as COVID-19 restrictions are expanded across the entire country. Read the latest here: https://t.co/OWTJVEZyWH https://t.co/LIi8tRyDK1",real
The 1st #COVID19 death in Nigeria has been recorded. The case was a 67 year old male who returned home following medical treatment in UK He had underlying medical conditions- multiple myeloma &amp; diabetes &amp; was undergoing chemotherapy Our thoughts are with his family https://t.co/A7STOjTQeW,real
Grieving the loss of a loved one during the #COVID19 pandemic can be extra difficult. CDC released information to help plan and hold funeral services as safely as possible during this time. Find it here: https://t.co/W3u2szgQel. https://t.co/gzZYuzHv9Q,real
"10 Million People contracted Tuberculosis last year. 1.5 Million People DIED. Did you even know? Were you scared for your life? Did we wear masks, close the economy, cancel schools, and ruin small businesses? No. Why? Because the media didn’t tell you to be AFRAID!",fake
This is a critical moment for countries and we ask leaders to put targeted measures in place that we know can suppress the spread and ensure that health systems and workers are protected.-@DrTedros #COVID19,real
Our combined total of confirmed and probable cases remains at 1504. The number of recovered cases is unchanged at 1481. Only one case remains active. There are no additional deaths to report.,real
Coronavirus: Second lockdown could be needed if new COVID-19 restrictions don't work warns Dominic Raab https://t.co/5alnTevcHT,real
"@FaheemYounus Aren't hospitals doing the business? I have huge respect for docs but the management... Charging lakhs n lakhs for PPE from every patient. 
Steam inhalation is advised by many docs. 
Pharmacy has taken most advantage of this pandemic. Selling 50 rs mask.for 250 or 300..",fake
India has lost over 50000 individuals to coronavirus till date. In view of the rising coronavirus cases Bihar government extends lockdown in the state till 6 September. At Nationalist Congress Party chief Sharad Pawar’s residence four people tested positive for #coronavirus. https://t.co/LqGJHHVr2g,fake
Deciding to close partially close or reopen schools 🏫 should be guided by a risk-based approach to maximize the educational well-being &amp; health benefit for students teachers staff &amp; the wider community &amp; help prevent a new outbreak of #COVID19 👉 https://t.co/Cs7uxQRRMN https://t.co/FADAeoPaHd,real
This is where the US stands as of evening April 5:: 🏠✔️Stay At Home: 41 States 🚶🏿.... Social Distancing: 8 States 👀 Limited Intervention: 1 State,real
#IndiaFightsCorona: India’s per day testing capacity has crossed 10 lakhs tests. 1016920 tests were conducted in the last 24 hours. The weekly average tests have multiplied by more than 4 times since the first week of January 2020. #StaySafe #IndiaWillWin https://t.co/P05dAzDmh2,real
"Oh sure, Finland has Covid Dogs, but — and hear me out, here — the US has a growing QAnon Freak Show *and* an elected leader who still eschews mask wearing, so... who’s really winning this round? https://t.co/TME4OMkRvt",fake
An NRL player's wife has tried to make a link between the flu shot and #COVID19 on instagram. But fact checkers have found there is no evidence of a link. Don't believe the misinformation on the internet. Read #CoronaCheck instead: https://t.co/FmISS4o21t #CoronavirusFacts https://t.co/FF6AoEYQYO,fake
This photo shows French nurses holding a sign to denounce police violence.,fake
Trump And Coronavirus May End November 3rd https://t.co/Nn7tfMvxr3 #dranthonyfauci #smallpox,fake
An audio message lists five ways people can prevent the novel coronavirus.,fake
#Covid_19 Vladimir Putin has given Russians two options You stay at home for 2 weeks or you go to jail for 5years No middle ground RUSSIA Vladimir Putin has Dropped 800 tigers and Lions all over the Country to push people to stay Home,fake
RT @DepSecHargan: Your risk of #COVID19 increases the closer you get to others and the longer you interact with them. Learn from @CDCgov ab…,real
#IndiaFightsCorona Recovery of more than 15 lakh has been made possible because of the policy of TESTING aggressively TRACKING comprehensively &amp; TREATING efficiently. Better ambulance services focus on Standard of Care &amp; use of non-invasive oxygen have given desired results.,real
Local Woman Informs Kids That Mother’s Day Is Going Ahead Despite Coronavirus https://t.co/67fGZfF2LY,fake
Coronavirus ‘still not as stressful as explaining Windows 10 upgrade to your parents’ https://t.co/c6JiLnWADx,fake
@drharshvardhan dispels doubts raised over failure of one vaccine in clinical trials says trials are continuing only after expert committee reappraisal. “No significant mutation in SARS-CoV-2 in India”. “ICMR is actively exploring saliva-based test for COVID-19”. @PIB_India,real
"@SenateDems Experts said: minimum of 2.2 MILLION would die.

CDC says 6% died from COVID.

China and WHO lied to the World. China flew infected people out internationally while banning domestic travel and welding doors shut during Wuhan lockdown.

Wuhan Virus deaths low in S Korea due to HCQ",fake
Mother infected with COVID-19 should follow hygiene practices related to COVID-19 before and while breastfeeding her baby to keep the baby safe and healthy. #WorldBreastfeedingWeek #SwasthaBharat #HealthForAll https://t.co/NVb8sipPwg,real
The Ministry has concluded follow-up with the group of 55 who were granted an exemption from managed isolation on compassionate grounds between June 9 – 16. One of these people subsequently had their approval withdrawn and remained in managed isolation for the full 14 days.,real
"Hydroxychloroquine ""cures COVID-19"" but there is a conspiracy by Biil Gates and Dr. Fauci to ban it.",fake
[Covid Act Now] says if restrictions are lifted up to 70 percent of Arizonans could be infected in the next three months with 65000 people eventually dying. https://t.co/Zcm7YhdirX,real
Our daily update is published. It was far and away the biggest testing day on record with 930k results reported. States also reported the second highest number of cases ever (75k) and for the fourth day in a row more than 1000 deaths (1178). https://t.co/KMqWgf5iQ7,real
There are now 63 people linked to the community cluster who remain in the Auckland quarantine facility which includes 47 people who have tested positive for COVID-19 and their household contacts.,real
Vaccine trials for #coronavirus could end early if results are overwhelmingly positive or negative reports Fauci. https://t.co/wb5vdg1eY3,real
This #FourthOfJuly weekend if you choose to spend time outdoors at an event or gathering stay 6 ft apart &amp; wear a cloth face cover to slow the spread of #COVID19. Learn more at https://t.co/c4F0aouMLd. https://t.co/u5tTl3m572,real
Amid the coronavirus crisis Italy’s streets are now filled with discarded printed cash as seen in photos circulating on social media.,fake
Ugandan president announces the postponement of elections.,fake
Terrifying New 'Man-Coronavirus' Strain Identified https://t.co/yJxVMFdi4N,fake
The latest updates from the Ministry of Health There are no new cases of COVID-19 to report in New Zealand. This is the 12th consecutive day of no new cases. Our total number of confirmed cases remains at 1154. The number of recovered cases is unchanged at 1481. https://t.co/VWikUkok0y,real
Yesterday our laboratories completed 9178 tests bringing the total number of tests completed to date to 387435. This includes testing at managed isolation facilities and community-based testing across the country.,real
RT @PIB_India: #IndiaFightsCOVID19 ✅More than 3 crore tests conducted ✅19.70 lakhs recovered patients ✅Active cases are only 25% of tota…,real
When I declared a public health emergency of international concern on the 30th of January – the highest level of alarm under international law – there were less than 100 #COVID19 cases outside of #China and no deaths-@DrTedros https://t.co/yWd6JPND0V,real
Listen to some incriminating revelations on #Corona conspiracy. Unraveling the corroboration of Chinese collaboration?👇 https://t.co/47yVvFRQtc,fake
"NEWS! America entirely Coronavirus-free within 40 miles of Chuck Norris, study shows https://t.co/K6XIG3wBaF https://t.co/mO0ksZk1ZG",fake
108 new cases of #COVID19 have been reported; 78 in Lagos 14 in FCT 5 in Ogun 4 in Gombe 3 Borno 2 in Akwa Ibom 1 in Kwara 1 in Plateau As at 11:30 pm 23rd April there are 981 confirmed cases of #COVID19 reported in Nigeria. Discharged: 197 Deaths: 31 #TakeResponsibility https://t.co/cq7STlnHGJ,real
In April WHO the @EU_Commission &amp; other partners established the Access to #COVID19 Tools Accelerator to speed up the development &amp; manufacturing of vaccines diagnostics &amp; therapeutics – and to ensure fair &amp; equitable access for all countries-@DrTedros #UNGA #UN75,real
@pawan90311 @MamataOfficial @MoHFW_INDIA GoI recommends use of 1% sodium hypochlorite phenolic disinfectants 70% Alcohol for disinfection for #COVID19. Chloroxylenol (4.5-5.5%)/ Benzalkonium Chloride or any other disinfectants found to be effective against coronavirus may be used as per manufacturer’s instruction,real
The number of cases is rising in all UK regions but compared to other areas the capital appears to be controlling the virus better than some regions that had similar or higher infection rates in April and May https://t.co/PnA26yDsmP,real
A video of an overcrowded Shramik train claimed to be from Mumbai travelling to West Bengal.,fake
